#Axion frequency	#gapp(GeV^-1)
13.2689748290236	3.88103402597217e-08
13.4017844856352	3.87650779223835e-08
13.5359234389797	3.88931251436592e-08
13.671404994037	3.89315774778229e-08
13.8082425889569	3.90377844901905e-08
13.9464497963922	3.9809979329139e-08
14.086040324845	4.16620149129897e-08
14.2270280200261	4.27331910251666e-08
14.3694268662287	4.20899816574706e-08
14.5132509877151	4.21260494412221e-08
14.658514650118	4.29011363908434e-08
14.8052322618554	4.43211446923596e-08
14.9534183755597	4.62497417546114e-08
15.1030876895208	4.74171804577106e-08
15.2542550491448	4.83537457900468e-08
15.4069354484256	4.95969200708806e-08
15.5611440314329	5.2676297880614e-08
15.7168960938136	5.62873864455325e-08
15.8742070843096	5.87292947760353e-08
16.0330926062896	6.07155325300728e-08
16.1935684192971	6.26662374246122e-08
16.3556504406134	6.51145526388467e-08
16.5193547468365	6.70875310170638e-08
16.6846975754757	6.80251387656945e-08
16.851695326562	6.84531068369023e-08
17.020364564275	6.92186972266587e-08
17.1907220185857	7.00094473371886e-08
17.3627845869162	7.02852796331103e-08
17.5365693358153	6.98903837113105e-08
17.7120935026515	6.7956962113454e-08
17.889374497323	6.39546259830944e-08
18.068429903984	5.91130137131467e-08
18.2492774827894	5.48290439537591e-08
18.4319351716561	5.24378928515515e-08
18.6164210880421	5.30368580096119e-08
18.8027535307439	5.34059418007939e-08
18.9909509817111	5.16532597592116e-08
19.1810321078801	4.93653299738725e-08
19.3730157630252	4.76845773627247e-08
19.5669209896288	4.78044137168024e-08
19.7627670207701	4.91265767026901e-08
19.9605732820333	5.04996065452351e-08
20.1603593934335	5.176535669657e-08
20.3621451713635	5.47283459654957e-08
20.5659506305591	5.94802446363957e-08
20.7717959860844	6.44288197552688e-08
20.9797016553366	7.14516847357893e-08
21.1896882600714	7.50987353597902e-08
21.4017766284488	7.02501235625855e-08
21.615987797098	6.16757659685361e-08
21.8323430132051	5.66967135356683e-08
22.0508637366199	5.25259509491779e-08
22.2715716419846	4.80201990877288e-08
22.4944886208836	4.70260951678981e-08
22.7196367840151	4.70787673017912e-08
22.9470384633842	4.80930526404032e-08
23.1767162145175	4.89277818785448e-08
23.4086928187012	4.89449710582202e-08
23.6429912852397	4.88345863825234e-08
23.8796348537387	4.87930097411773e-08
24.11864699641	4.9158780798885e-08
24.3600514203993	4.96905666308257e-08
24.6038720701385	4.99938885535513e-08
24.8501331297196	5.06079059713309e-08
25.0988590252946	5.12313315763302e-08
25.3500744274975	5.14794187866947e-08
25.6038042538915	5.16562859149627e-08
25.8600736714408	5.1743631295956e-08
26.1189080990066	5.20987110588295e-08
26.3803332098683	5.32693371499399e-08
26.6443749342704	5.45257186848697e-08
26.9110594619937	5.61171400047514e-08
27.180413244954	5.58792340266123e-08
27.4524629998249	5.41443950865012e-08
27.7272357106884	5.39589237436628e-08
28.004758631711	5.44435395770196e-08
28.2850592898472	5.50123553219891e-08
28.56816548757	5.55607094748046e-08
28.854105305628	5.63280071978592e-08
29.1429071058314	5.67575094347072e-08
29.4345995338647	5.6863967481605e-08
29.7292115221278	5.73837832624726e-08
30.0267722926066	5.84253238117258e-08
30.3273113597705	5.95583430543936e-08
30.6308585335005	6.02643004885171e-08
30.9374439220457	6.07191271009129e-08
