#Axion frequency	#gann(GeV^-1)
12.6244094793793	2.86546694974255e-09
12.7507676577228	2.83553658852224e-09
12.8783905597161	2.80999996480048e-09
13.0072908440248	2.88372170214093e-09
13.1374812960154	2.94294396572239e-09
13.2689748290236	2.9442327093582e-09
13.4017844856352	2.94079901480151e-09
13.5359234389797	2.95051294193277e-09
13.671404994037	2.95343001555898e-09
13.8082425889569	2.96148709925583e-09
13.9464497963922	3.02006739738296e-09
14.086040324845	3.16056664857163e-09
14.2270280200261	3.24182828466781e-09
14.3694268662287	3.19303309125639e-09
14.5132509877151	3.19576926795478e-09
14.658514650118	3.25456896758122e-09
14.8052322618554	3.36229373528245e-09
14.9534183755597	3.50860109862569e-09
15.1030876895208	3.59716541403322e-09
15.2542550491448	3.66821519786562e-09
15.4069354484256	3.76252497089439e-09
15.5611440314329	3.99613294266727e-09
15.7168960938136	4.27007759241971e-09
15.8742070843096	4.45532581059578e-09
16.0330926062896	4.60600591607449e-09
16.1935684192971	4.75399042531541e-09
16.3556504406134	4.93972468294699e-09
16.5193547468365	5.08939890474277e-09
16.6846975754757	5.160527768432e-09
16.851695326562	5.192994311765e-09
17.020364564275	5.25107358271204e-09
17.1907220185857	5.31106152213155e-09
17.3627845869162	5.33198673078768e-09
17.5365693358153	5.3020291091339e-09
17.7120935026515	5.15535574653789e-09
17.889374497323	4.85173024699337e-09
18.068429903984	4.4844355230663e-09
18.2492774827894	4.15944471373345e-09
18.4319351716561	3.9780470439108e-09
18.6164210880421	4.02348578003952e-09
18.8027535307439	4.05148524006023e-09
18.9909509817111	3.91852315414709e-09
19.1810321078801	3.74495606698343e-09
19.3730157630252	3.61745069648256e-09
19.5669209896288	3.62654173024018e-09
19.7627670207701	3.72684374985925e-09
19.9605732820333	3.83100463446611e-09
20.1603593934335	3.92702705973979e-09
20.3621451713635	4.15180555600312e-09
20.5659506305591	4.51229442069209e-09
20.7717959860844	4.88770356764108e-09
20.9797016553366	5.42047263512884e-09
21.1896882600714	5.69714544108753e-09
21.4017766284488	5.32931971854097e-09
21.615987797098	4.67885121140619e-09
21.8323430132051	4.30112999236104e-09
22.0508637366199	3.98472731338591e-09
22.2715716419846	3.64291165493115e-09
22.4944886208836	3.56749687480606e-09
22.7196367840151	3.57149269186002e-09
22.9470384633842	3.64843847616852e-09
23.1767162145175	3.71176276319995e-09
23.4086928187012	3.71306676993395e-09
23.6429912852397	3.7046927600535e-09
23.8796348537387	3.70153867002035e-09
24.11864699641	3.72928681922576e-09
24.3600514203993	3.76962919268333e-09
